"","Q3","Q4","Q5","Q6","Q7","Q8","Participant","Condition","Workload","Workload100","WorkloadSum","Haptic","Visual"
"101",9,5,6,2,9,9,"26","2",6.66666666666667,66.6666666666667,40,"1","0"
"102",3,3,3,9,3,2,"26","3",3.83333333333333,38.3333333333333,23,"0","1"
"103",5,5,4,4,6,4,"26","1",4.66666666666667,46.6666666666667,28,"1","1"
"104",8,5,6,4,8,7,"26","4",6.33333333333333,63.3333333333333,38,"0","0"
"105",8,2,2,7,7,3,"27","1",4.83333333333333,48.3333333333333,29,"1","1"
"106",4,3,3,3,3,3,"28","4",3.16666666666667,31.6666666666667,19,"0","0"
"107",6,3,4,6,3,4,"28","2",4.33333333333333,43.3333333333333,26,"1","0"
"108",2,2,2,2,5,2,"28","1",2.5,25,15,"1","1"
"109",1,1,1,2,3,1,"28","3",1.5,15,9,"0","1"
"110",5,2,1,4,6,7,"29","4",4.16666666666667,41.6666666666667,25,"0","0"
"111",2,4,2,2,3,1,"29","3",2.33333333333333,23.3333333333333,14,"0","1"
"112",7,2,1,5,7,7,"29","2",4.83333333333333,48.3333333333333,29,"1","0"
"113",2,2,2,3,2,2,"29","1",2.16666666666667,21.6666666666667,13,"1","1"
"114",6,3,6,7,7,4,"30","2",5.5,55,33,"1","0"
"115",2,2,2,2,2,1,"30","3",1.83333333333333,18.3333333333333,11,"0","1"
"116",3,3,4,2,4,3,"30","4",3.16666666666667,31.6666666666667,19,"0","0"
"117",2,2,2,2,2,2,"30","1",2,20,12,"1","1"
"118",7,4,2,5,8,4,"31","2",5,50,30,"1","0"
"119",4,3,2,1,5,1,"31","3",2.66666666666667,26.6666666666667,16,"0","1"
"120",4,4,2,4,5,2,"31","3",3.5,35,21,"0","1"
"121",3,4,2,3,3,2,"31","1",2.83333333333333,28.3333333333333,17,"1","1"
"122",5,8,4,4,6,8,"32","1",5.83333333333333,58.3333333333333,35,"1","1"
"123",10,8,7,10,10,10,"32","2",9.16666666666667,91.6666666666667,55,"1","0"
"124",2,4,2,1,3,1,"32","3",2.16666666666667,21.6666666666667,13,"0","1"
"125",6,6,5,4,7,5,"32","4",5.5,55,33,"0","0"
"126",10,2,1,8,9,8,"33","2",6.33333333333333,63.3333333333333,38,"1","0"
"127",1,1,1,1,1,1,"33","3",1,10,6,"0","1"
"128",2,1,1,NA,2,2,"33","1",NA,NA,NA,"1","1"
"129",4,2,1,1,3,1,"33","4",2,20,12,"0","0"
"130",10,7,5,9,9,9,"34","2",8.16666666666667,81.6666666666667,49,"1","0"
"131",7,4,5,5,7,2,"34","4",5,50,30,"0","0"
"132",10,6,5,10,10,8,"34","1",8.16666666666667,81.6666666666667,49,"1","1"
"133",2,2,4,2,5,1,"34","3",2.66666666666667,26.6666666666667,16,"0","1"
"134",3,1,1,2,2,1,"35","4",1.66666666666667,16.6666666666667,10,"0","0"
"135",2,2,1,2,2,1,"35","1",1.66666666666667,16.6666666666667,10,"1","1"
"136",3,1,1,3,1,3,"35","2",2,20,12,"1","0"
"137",1,1,1,1,2,1,"35","3",1.16666666666667,11.6666666666667,7,"0","1"
"138",8,5,7,3,8,1,"36","2",5.33333333333333,53.3333333333333,32,"1","0"
"139",7,5,8,9,7,3,"36","4",6.5,65,39,"0","0"
"140",5,5,4,2,6,1,"36","1",3.83333333333333,38.3333333333333,23,"1","1"
"141",6,5,4,1,7,2,"36","3",4.16666666666667,41.6666666666667,25,"0","1"
"142",3,3,3,3,3,2,"38","4",2.83333333333333,28.3333333333333,17,"0","0"
"143",2,2,2,1,2,1,"38","3",1.66666666666667,16.6666666666667,10,"0","1"
"144",2,2,2,2,3,1,"38","1",2,20,12,"1","1"
"145",4,3,3,1,5,2,"38","2",3,30,18,"1","0"
"146",2,2,2,1,4,1,"39","3",2,20,12,"0","1"
"147",3,3,4,5,5,1,"39","3",3.5,35,21,"0","1"
"148",8,8,6,8,8,8,"39","2",7.66666666666667,76.6666666666667,46,"1","0"
"149",7,6,5,7,7,6,"39","4",6.33333333333333,63.3333333333333,38,"0","0"
"150",4,4,5,3,3,3,"40","3",3.66666666666667,36.6666666666667,22,"0","1"
"151",3,5,6,4,6,4,"40","1",4.66666666666667,46.6666666666667,28,"1","1"
"152",5,5,6,4,6,6,"40","4",5.33333333333333,53.3333333333333,32,"0","0"
"153",7,8,6,4,8,7,"40","2",6.66666666666667,66.6666666666667,40,"1","0"
"154",6,1,3,5,6,2,"41","4",3.83333333333333,38.3333333333333,23,"0","0"
"155",8,5,5,8,8,3,"41","2",6.16666666666667,61.6666666666667,37,"1","0"
"156",4,3,4,4,5,2,"41","1",3.66666666666667,36.6666666666667,22,"1","1"
"157",3,3,3,2,3,1,"41","3",2.5,25,15,"0","1"
"158",4,7,4,7,6,4,"42","3",5.33333333333333,53.3333333333333,32,"0","1"
"159",9,9,8,7,8,8,"42","4",8.16666666666667,81.6666666666667,49,"0","0"
"160",7,9,5,3,6,6,"42","1",6,60,36,"1","1"
"161",10,9,4,10,8,10,"42","3",8.5,85,51,"0","1"
"162",9,10,9,9,10,2,"43","1",8.16666666666667,81.6666666666667,49,"1","1"
"163",8,10,8,8,8,3,"43","4",7.5,75,45,"0","0"
"164",5,4,2,2,5,1,"43","3",3.16666666666667,31.6666666666667,19,"0","1"
"165",10,10,5,10,10,9,"43","2",9,90,54,"1","0"
"166",3,4,5,2,3,3,"44","3",3.33333333333333,33.3333333333333,20,"0","1"
"167",9,6,7,5,8,9,"44","2",7.33333333333333,73.3333333333333,44,"1","0"
"168",6,4,5,4,6,5,"44","4",5,50,30,"0","0"
"169",5,4,5,4,6,6,"44","1",5,50,30,"1","1"
"170",6,2,8,1,4,2,"45","3",3.83333333333333,38.3333333333333,23,"0","1"
"171",1,1,1,1,1,1,"48","3",1,10,6,"0","1"
"172",7,1,4,7,6,3,"48","3",4.66666666666667,46.6666666666667,28,"0","1"
"173",10,8,3,9,8,8,"48","2",7.66666666666667,76.6666666666667,46,"1","0"
"174",1,1,1,2,2,1,"48","1",1.33333333333333,13.3333333333333,8,"1","1"
"175",1,1,1,1,1,1,"46","3",1,10,6,"0","1"
"176",5,1,2,1,4,3,"46","4",2.66666666666667,26.6666666666667,16,"0","0"
"177",2,2,2,1,2,2,"46","1",1.83333333333333,18.3333333333333,11,"1","1"
"178",5,3,6,1,6,7,"46","2",4.66666666666667,46.6666666666667,28,"1","0"
"179",7,5,4,6,8,6,"47","2",6,60,36,"1","0"
"180",2,1,1,3,2,1,"47","3",1.66666666666667,16.6666666666667,10,"0","1"
"181",3,1,4,4,4,2,"47","4",3,30,18,"0","0"
"182",2,1,2,3,3,3,"47","4",2.33333333333333,23.3333333333333,14,"0","0"
